timestamp,LL,LC,LR,RL,RC,RR
08/09/2022 14:53:08:186334,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:188372,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:191444,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:194197,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:195839,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:199103,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:199103,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:199103,1906.16,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:207633,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:209513,1906.16,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:213370,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:215429,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:219504,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:220501,1906.16,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:220501,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:226707,1906.16,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:229026,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:230024,1906.16,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:234680,1911.05,1852.39,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:235678,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:240509,1906.16,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:242017,1906.16,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:246064,1906.16,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:248588,1911.05,1852.39,166.18,34.21,1930.60,2810.36
08/09/2022 14:53:08:249893,1906.16,1847.51,166.18,29.33,1930.60,2810.36
08/09/2022 14:53:08:253090,1911.05,1852.39,171.07,29.33,1930.60,2810.36
08/09/2022 14:53:08:253090,1906.16,1852.39,171.07,29.33,1930.60,2805.47
08/09/2022 14:53:08:259672,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:260668,1906.16,1852.39,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:260668,1906.16,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:267303,1906.16,1852.39,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:267303,1906.16,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:273302,1906.16,1852.39,166.18,29.33,1930.60,2810.36
08/09/2022 14:53:08:274783,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:277774,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:279880,1906.16,1847.51,171.07,34.21,1930.60,2810.36
